Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
6.4, 0.06, 0.06, 0.06, 0.05, 0.314392, 0.314392, 0.681159, 0.314392, 0.314392, 1.668436, 12.427506, 0.314392, 1.071815, 0.741547, 0.000000, 265.09, 268.86, 276.42, 2.24
6.5, 0.06, 0.06, 0.06, 0.06, 1.135970, 0.314392, 11.380076, 0.314392, 0.314392, 1.709312, 0.413199, 0.314392, 0.507041, 1.591711, 0.000000, 269.31, 273.28, 280.32, 1.98
6.6, 0.06, 0.06, 0.06, 0.06, 0.314392, 0.314392, 8.904561, 2.076669, 0.314392, 2.815485, 1.272668, 0.314392, 1.325706, 0.509237, 0.000000, 275.07, 277.31, 283.97, 3.14
6.7, 0.06, 0.06, 0.06, 0.06, 0.314392, 0.314392, 6.654490, 0.314392, 0.314392, 0.314392, 3.117955, 2.056485, 0.509237, 0.509237, 0.000000, 279.04, 282.24, 288.51, 2.50
6.8, 0.06, 0.06, 0.06, 0.06, 0.314392, 2.904983, 0.314392, 2.336400, 0.314392, 0.314392, 0.314392, 0.915511, 0.509237, 0.509237, 0.000000, 282.75, 286.72, 293.50, 3.20
6.9, 0.06, 0.06, 0.06, 0.06, 0.314392, 0.355216, 5.119898, 0.403386, 0.314392, 0.314392, 5.619238, 0.314392, 1.587652, 1.321093, 0.000000, 287.62, 291.26, 298.05, 2.37
7.0, 0.07, 0.06, 0.06, 0.06, 0.314392, 0.314392, 1.318928, 0.314392, 0.314392, 0.314392, 1.242154, 0.314392, 1.591711, 1.408172, 0.000000, 291.52, 296.06, 302.78, 2.24
7.1, 0.07, 0.07, 0.06, 0.06, 0.314392, 0.314392, 11.580239, 0.829949, 0.314392, 0.310754, 10.610186, 0.314392, 1.591711, 1.591711, 0.000000, 296.58, 300.54, 306.62, 3.46
7.2, 0.07, 0.07, 0.07, 0.06, 0.314392, 0.314291, 1.304082, 0.314392, 0.314392, 0.314392, 1.336247, 0.314392, 1.591711, 1.591711, 0.000000, 300.86, 304.90, 310.98, 4.16
7.3, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.314392, 9.506526, 0.314392, 1.774312, 1.564726, 15.886931, 0.314392, 1.591711, 1.591711, 0.000000, 304.26, 308.48, 315.65, 1.79
7.4, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.314392, 10.537622, 0.314392, 0.314392, 0.314392, 3.248628, 0.314392, 1.246369, 0.705132, 0.000000, 308.16, 313.47, 318.40, 4.16
7.5, 0.07, 0.07, 0.07, 0.07, 0.314392, 0.314392, 1.104866, 0.314392, 0.314392, 0.314392, 1.337072, 0.314392, 1.591711, 1.591711, 0.000000, 312.64, 318.21, 322.88, 3.58
7.6, 0.07, 0.07, 0.07, 0.07, 0.924996, 3.086468, 0.660784, 0.314392, 3.814163, 0.314392, 18.500278, 0.314392, 0.509237, 0.509237, 0.000000, 316.67, 323.07, 326.72, 1.60
7.7, 0.07, 0.07, 0.07, 0.07, 3.101525, 3.743563, 0.314392, 2.306247, 0.314392, 0.314392, 7.114308, 0.314392, 1.521349, 1.591711, 0.000000, 321.22, 327.36, 330.43, 3.65
