Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
8.6, 0.05, 0.05, 0.06, 0.05, 0.069278, 0.172465, 0.088041, 0.069278, 0.069278, 0.069278, 0.190080, 0.069278, 0.324742, 0.324742, 0.001082, 1765.38, 1755.07, 1767.10, 4.03
8.7, 0.05, 0.05, 0.06, 0.05, 0.069278, 0.173640, 1.558598, 0.256383, 0.330320, 0.069278, 0.893602, 0.069278, 0.161971, 0.324742, 0.001082, 1787.20, 1776.64, 1786.69, 3.58
8.8, 0.05, 0.05, 0.06, 0.04, 0.069278, 0.069278, 1.023934, 0.069278, 0.069278, 0.069278, 0.653840, 0.069278, 0.216495, 0.242638, 0.001082, 1806.66, 1798.27, 1807.17, 3.78
8.9, 0.05, 0.05, 0.06, 0.05, 0.069278, 0.066187, 1.519903, 0.069278, 0.069278, 0.065277, 0.173196, 0.094744, 0.324742, 0.324742, 0.002165, 1827.33, 1819.84, 1827.84, 3.39
9.0, 0.05, 0.05, 0.06, 0.04, 0.069278, 0.069278, 1.305963, 0.069278, 0.370738, 0.299394, 0.936575, 0.069278, 0.239045, 0.253851, 0.001082, 1849.34, 1841.41, 1847.04, 3.01
9.1, 0.05, 0.05, 0.06, 0.04, 0.069278, 0.069278, 1.403815, 0.069278, 0.214380, 0.069278, 0.162455, 0.069278, 0.324742, 0.324742, 0.001082, 1870.27, 1863.23, 1868.22, 2.30
9.2, 0.05, 0.05, 0.07, 0.04, 0.146307, 0.069278, 0.948453, 0.069278, 0.069278, 0.069278, 0.252139, 0.254423, 0.229293, 0.104639, 0.001082, 1889.54, 1883.97, 1888.45, 3.65
9.3, 0.05, 0.05, 0.07, 0.05, 0.354566, 0.069278, 0.136433, 0.069278, 0.069278, 0.069278, 0.650290, 0.069278, 0.324742, 0.309988, 0.001082, 1908.86, 1905.66, 1909.82, 3.97
9.4, 0.05, 0.05, 0.06, 0.05, 0.069278, 0.069278, 0.159873, 0.069278, 0.069278, 0.069278, 0.122569, 0.139515, 0.324742, 0.303780, 0.001082, 1929.47, 1927.36, 1929.79, 3.71
9.5, 0.05, 0.05, 0.06, 0.05, 0.381985, 0.069278, 0.866431, 0.069278, 0.069278, 0.069278, 0.403499, 0.385902, 0.324742, 0.324742, 0.001082, 1952.32, 1948.54, 1950.53, 3.39
