Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
4.8, 0.03, 0.03, 0.03, 0.00, 0.037278, 0.037278, 0.812232, 0.037278, 0.037278, 0.037278, 0.103274, 0.037278, 0.238744, 0.292742, 0.000000, 862.91, 867.84, 863.49, 1.28
4.9, 0.03, 0.03, 0.03, 0.00, 0.145500, 0.270128, 0.093586, 0.037278, 0.032616, 0.037278, 0.161979, 0.037278, 0.072769, 0.292742, 0.000000, 882.30, 885.57, 882.69, 1.09
5.0, 0.03, 0.03, 0.03, 0.00, 0.310765, 0.037278, 0.101927, 0.037278, 0.124649, 0.036335, 0.099629, 0.037278, 0.292742, 0.274514, 0.000000, 900.74, 904.70, 901.31, 1.41
5.1, 0.03, 0.03, 0.03, 0.00, 0.037278, 0.037278, 0.100259, 0.037278, 0.035344, 0.037278, 0.068657, 0.037278, 0.110371, 0.292742, 0.000000, 919.10, 922.56, 921.28, 1.73
5.2, 0.03, 0.03, 0.04, 0.00, 0.037278, 0.261271, 0.093961, 0.037278, 0.037278, 0.037278, 0.150643, 0.037278, 0.076247, 0.114182, 0.000000, 938.56, 939.97, 939.14, 2.43
5.3, 0.03, 0.03, 0.04, 0.00, 0.126192, 0.037278, 0.746353, 0.037278, 0.203834, 0.037278, 0.527410, 0.037278, 0.287871, 0.184495, 0.000000, 955.84, 959.17, 959.62, 1.73
5.4, 0.03, 0.03, 0.04, 0.00, 0.034948, 0.257828, 0.087663, 0.037278, 0.037278, 0.187921, 0.152939, 0.037278, 0.263040, 0.184495, 0.000000, 973.95, 977.54, 978.50, 1.66
5.5, 0.03, 0.03, 0.04, 0.00, 0.289129, 0.037278, 0.041822, 0.037278, 0.308007, 0.361890, 1.211421, 0.037278, 0.076247, 0.076247, 0.000000, 992.38, 995.01, 998.02, 1.54
5.6, 0.03, 0.03, 0.04, 0.00, 0.037278, 0.037278, 0.777491, 0.037278, 0.037278, 0.037278, 1.269776, 0.037278, 0.292742, 0.292742, 0.000000, 1009.79, 1014.34, 1016.70, 1.86
5.7, 0.03, 0.04, 0.04, 0.00, 0.349031, 0.424263, 0.700186, 0.037278, 0.037278, 0.142099, 1.191410, 0.036039, 0.292742, 0.292742, 0.000000, 1029.38, 1031.68, 1035.58, 1.86
5.8, 0.03, 0.04, 0.04, 0.00, 0.321394, 0.037278, 0.609886, 0.037278, 0.089501, 0.037278, 0.864984, 0.037278, 0.255236, 0.292742, 0.000000, 1046.72, 1050.30, 1054.53, 1.47
5.9, 0.03, 0.04, 0.04, 0.00, 0.037278, 0.037278, 0.561113, 0.037278, 0.230399, 0.459443, 0.129225, 0.037278, 0.104352, 0.076247, 0.000000, 1065.41, 1069.25, 1072.51, 2.43
6.0, 0.03, 0.04, 0.04, 0.00, 0.373839, 0.037278, 1.101935, 0.037278, 0.037278, 0.270172, 1.045448, 0.037278, 0.270270, 0.162023, 0.000000, 1082.69, 1088.96, 1091.33, 2.05
6.1, 0.03, 0.04, 0.05, 0.00, 0.037278, 0.077492, 0.504845, 0.037278, 0.037278, 0.037278, 0.788021, 0.037278, 0.266701, 0.104329, 0.000000, 1099.84, 1108.10, 1111.04, 2.88
6.2, 0.04, 0.04, 0.05, 0.00, 0.037278, 0.358480, 0.037278, 0.037278, 0.037278, 0.037278, 0.159848, 0.037278, 0.076247, 0.076247, 0.000000, 1118.27, 1127.17, 1130.18, 1.60
6.3, 0.04, 0.04, 0.05, 0.00, 0.037278, 0.341346, 1.497656, 0.037278, 0.037278, 0.037278, 0.698001, 0.037278, 0.076247, 0.076247, 0.000000, 1137.54, 1145.66, 1147.07, 1.22
6.4, 0.04, 0.04, 0.05, 0.00, 0.367995, 0.037278, 0.361009, 0.037278, 0.037278, 0.037278, 1.683339, 0.037278, 0.208313, 0.076247, 0.000000, 1156.35, 1163.90, 1165.76, 2.11
6.5, 0.04, 0.04, 0.05, 0.00, 0.247234, 0.037278, 1.568996, 0.037278, 0.037278, 0.037278, 0.754465, 0.037278, 0.178955, 0.199003, 0.000000, 1174.53, 1184.90, 1184.45, 2.37
6.6, 0.04, 0.05, 0.05, 0.00, 0.037278, 0.279992, 0.096660, 0.037278, 0.035824, 0.037278, 0.852148, 0.037278, 0.076247, 0.184495, 0.000000, 1193.86, 1202.43, 1203.39, 3.20
6.7, 0.04, 0.04, 0.05, 0.00, 0.037278, 0.037278, 1.787915, 0.034370, 0.037278, 0.037278, 0.096660, 0.037278, 0.076247, 0.076247, 0.000000, 1212.99, 1221.63, 1222.02, 2.50
6.8, 0.05, 0.04, 0.05, 0.00, 0.037278, 0.037278, 0.914477, 0.037278, 0.109281, 0.037278, 0.864944, 0.037278, 0.254410, 0.261576, 0.000000, 1232.45, 1240.32, 1240.06, 2.50
6.9, 0.04, 0.05, 0.05, 0.00, 0.037278, 0.037278, 1.893251, 0.037278, 0.350426, 0.029014, 0.895101, 0.037278, 0.291119, 0.200326, 0.000000, 1251.39, 1258.94, 1259.84, 1.60
7.0, 0.04, 0.05, 0.05, 0.00, 0.037261, 0.037278, 0.157361, 0.037278, 0.030383, 0.037278, 0.086317, 0.037278, 0.292742, 0.292742, 0.000000, 1272.00, 1277.31, 1276.03, 2.56
7.1, 0.04, 0.05, 0.05, 0.00, 0.037278, 0.037278, 1.360043, 0.037278, 0.440106, 0.037278, 1.516031, 0.037278, 0.245909, 0.292742, 0.000000, 1290.94, 1296.45, 1293.57, 3.46
7.2, 0.04, 0.05, 0.05, 0.00, 0.390987, 0.037278, 1.709802, 0.037278, 0.037278, 0.037278, 1.290021, 0.037278, 0.076247, 0.076247, 0.000000, 1309.70, 1314.75, 1311.62, 3.52
7.3, 0.04, 0.05, 0.06, 0.00, 0.037278, 0.037278, 0.812512, 0.037278, 0.037278, 0.037278, 1.180189, 0.037278, 0.292742, 0.292742, 0.000000, 1328.51, 1332.99, 1329.54, 1.98
7.4, 0.04, 0.05, 0.05, 0.00, 0.037278, 0.037278, 1.347428, 0.037278, 0.036064, 0.500577, 0.280625, 0.037278, 0.084991, 0.076247, 0.000000, 1348.16, 1350.78, 1346.56, 3.58
